Index,Category,title,description,link
1,Array,Two Sum,"Given an array of integer nums and an integer target, return indices of the two numbers such that they add up to the target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.",https://leetcode.com/problems/two-sum/
2,Array,Best Time to Buy and Sell Stock,"You are given an array of prices where prices[i] is the price of a given stock on an ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.",https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
3,Array,Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.",https://leetcode.com/problems/contains-duplicate/
4,Array,Product of Array Except Self,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[I]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation.",https://leetcode.com/problems/product-of-array-except-self/
5,Array,Maximum Subarray,"Given an integer array nums, find the subarray with the largest sum, and return its sum.",https://leetcode.com/problems/maximum-subarray/
6,Array,Maximum Product Subarray,"Given an integer array nums, find a subarray that has the largest product, and return the product.",https://leetcode.com/problems/maximum-product-subarray/
7,Array,Find Minimum in Rotated Sorted Array,"Given the sorted rotated array nums of unique elements, return the minimum element of this array. You must write an algorithm that runs in O(log n) time.",https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
8,Array,Search in Rotated Sorted Array,"Given the array nums after the possible rotation and an integer target, return the index of the target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.",https://leetcode.com/problems/search-in-rotated-sorted-array/
9,Array,3Sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i!=j, i!=k and j !=k and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets.",https://leetcode.com/problems/3sum/
10,Array,Container With Most Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[I]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store.",https://leetcode.com/problems/container-with-most-water/
11,Binary,Sum of Two Integers,"Given two integers a and b, return the sum of the two integers without using the operators + and -.",https://leetcode.com/problems/sum-of-two-integers/
12,Binary,Number of 1 Bits,Write a function that takes the binary representation of an unsigned integer and returns the number of '1' bits it has (also known as the Hamming weight).,https://leetcode.com/problems/number-of-1-bits/
13,Binary,Counting Bits,"Given an integer n, return an array of length n + 1 such that for each i (0 <= i <= n), ans[i] is the number of 1's in the binary representation of i.",https://leetcode.com/problems/counting-bits/
14,Binary,Missing Number,"Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array.",https://leetcode.com/problems/missing-number/
15,Binary,Reverse Bits,Reverse bits of a given 32-bit unsigned integer.,https://leetcode.com/problems/reverse-bits/
16,Dynamic Programming,Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?,https://leetcode.com/problems/climbing-stairs/
17,Dynamic Programming,Coin Change,"You are given an integer array of coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1.",https://leetcode.com/problems/coin-change/
18,Dynamic Programming,Longest Increasing Subsequence,"Given an integer array nums, return the length of the longest strictly increasing subsequence.",https://leetcode.com/problems/longest-increasing-subsequence/
19,Dynamic Programming,Longest Common Subsequence,"Given two strings text1 and text2, return the length of their longest common subsequence. If there is no common subsequence, return 0. A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.",https://leetcode.com/problems/longest-common-subsequence/
20,Dynamic Programming,Word Break Problem,"Given a string s and a dictionary of strings wordDict, return true if s can be segmented into a space-separated sequence of one or more dictionary words. Note that the same word in the dictionary may be reused multiple times in the segmentation.",https://leetcode.com/problems/word-break/
21,Dynamic Programming,Combination Sum IV,"Given an array of distinct integers nums and a target integer target, return the number of possible combinations that add up to target. Note that different sequences are counted as different combinations.",https://leetcode.com/problems/combination-sum-iv/
22,Dynamic Programming,House Robber,"You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed. Given an integer array nums representing the amount of money in each house, return the maximum amount of money you can rob tonight without alerting the police.",https://leetcode.com/problems/house-robber/
23,Dynamic Programming,House Robber II,You are a professional robber planning to rob houses along a street. All houses at this place are arranged in a circle. That means the first house is the neighbor of the last one. Return the maximum amount of money you can rob tonight without alerting the police.,https://leetcode.com/problems/house-robber-ii/
24,Dynamic Programming,Decode Ways,"A message containing letters from A-Z can be encoded into numbers using the following mapping: 'A' -> ""1"", 'B' -> ""2"",... 'Z' -> ""26"". Given a string s containing only digits, return the number of ways to decode it.",https://leetcode.com/problems/decode-ways/
25,Dynamic Programming,Unique Paths,"There is a robot on an m x n grid. The robot is initially located at the top-left corner. The robot tries to move to the bottom-right corner. The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner.",https://leetcode.com/problems/unique-paths/
26,Dynamic Programming,Jump Game,"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise.",https://leetcode.com/problems/jump-game/
27,Graph,Clone Graph,"Given a reference of a node in a connected undirected graph, return a deep copy (clone) of the graph. Each node in the graph contains a value (int) and a list (List[Node]) of its neighbors.",https://leetcode.com/problems/clone-graph/
28,Graph,Course Schedule,"There are a total of numCourses courses you have to take, labeled from 0 to numCourses - 1. You are given an array of prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai. Return true if you can finish all courses. Otherwise, return false.",https://leetcode.com/problems/course-schedule/
29,Graph,Pacific Atlantic Water Flow,"Given an m x n integer matrix height where heights[r][c] represent the height above sea level of the cell at coordinate (r, c). Return a 2D list of grid coordinates results where result[i] = [ri, ci] denotes that rainwater can flow from cell (ri, ci) to both the Pacific and Atlantic oceans.",https://leetcode.com/problems/pacific-atlantic-water-flow/
30,Graph,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",https://leetcode.com/problems/number-of-islands/
31,Graph,Longest Consecutive Sequence,"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence. You must write an algorithm that runs in O(n) time.",https://leetcode.com/problems/longest-consecutive-sequence/
32,Graph,Alien Dictionary,"There is a new alien language that uses the Latin alphabet. You receive a list of non-empty words from the dictionary, where words are sorted lexicographically by the rules of this new language. Derive the order of letters in this language.",https://leetcode.com/problems/alien-dictionary/
33,Graph,Graph Valid Tree,"Given n nodes labeled from 0 to n-1 and a list of undirected edges (each edge is a pair of nodes), write a function to check whether these edges make up a valid tree.",https://leetcode.com/problems/graph-valid-tree/
34,Graph,Number of Connected Components in an Undirected Graph,"Given n nodes labeled from 0 to n - 1 and a list of undirected edges (each edge is a pair of nodes), write a function to find the number of connected components in an undirected graph.",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
35,Interval,Insert Interval,"You are given an array of non-overlapping intervals where intervals[i] = [starti, endi]. Insert new interval = [start, end] into intervals such that intervals are still sorted in ascending order by start i and intervals still do not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion.",https://leetcode.com/problems/insert-interval/
36,Interval,Merge Intervals,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals and return an array of the non overlapping intervals that cover all the intervals in the input.",https://leetcode.com/problems/merge-intervals/
37,Interval,Non-overlapping Intervals,"Given an array of intervals where intervals[i] = [starti, endi], return the minimum number of intervals you need to remove to make the rest of the intervals non-overlapping.",https://leetcode.com/problems/non-overlapping-intervals/
38,Interval,Meeting Rooms,"Given an array of meeting time intervals consisting of start and end times[[s1,e1],[s2,e2],...](si< ei), determine if a person could attend all meetings.",https://leetcode.com/problems/meeting-rooms/
39,Interval,Meeting Rooms II,"Given an array of meeting time intervals consisting of start and end times[[s1,e1],[s2,e2],...](si< ei). Find the minimum number of conference rooms required.",https://leetcode.com/problems/meeting-rooms-ii/
40,Linked List,Reverse a Linked List,"Given the head of a singly linked list, reverse the list, and return the reversed list.",https://leetcode.com/problems/reverse-linked-list/
41,Linked List,Detect Cycle in a Linked List,"Given the head, the head of a linked list, determine if the linked list has a cycle in it. Return true if there is a cycle in the linked list. Otherwise, return false.",https://leetcode.com/problems/linked-list-cycle/
42,Linked List,Merge Two Sorted Lists,You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one-sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list.,https://leetcode.com/problems/merge-two-sorted-lists/
43,Linked List,Merge K Sorted Lists,"You are given an array of k linked-lists lists, each linked list is sorted in ascending order. Merge all the linked lists into one sorted linked list and return it.",https://leetcode.com/problems/merge-k-sorted-lists/
44,Linked List,Remove Nth Node From End Of List,"Given the head of a linked list, remove the nth node from the end of the list and return its head.",https://leetcode.com/problems/remove-nth-node-from-end-of-list/
45,Linked List,Reorder List,You are given the head of a singly linked list. Reorder the list to be on the following form: L0 -> Ln -> L1 -> Ln-1 -> L2 -> Ln-2 -> … You may not modify the values in the list's nodes. Only nodes themselves may be changed.,https://leetcode.com/problems/reorder-list/
46,Matrix,Set Matrix Zeroes,"Given an m×n integer matrix, if an element is 0, set its entire row and column to O's. You must do it in place.",https://leetcode.com/problems/set-matrix-zeroes/
47,Matrix,Spiral Matrix,"Given an m×n matrix, return all elements of the matrix in spiral order.",https://leetcode.com/problems/spiral-matrix/
48,Matrix,Rotate Image,"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation.",https://leetcode.com/problems/rotate-image/
49,Matrix,Word Search,"Given an m x n grid of characters board and a string word, return true if the word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.",https://leetcode.com/problems/word-search/
50,String,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters.",https://leetcode.com/problems/longest-substring-without-repeating-characters/
51,String,Longest Repeating Character Replacement,You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times. Return the length of the longest substring containing the same letter you can get after performing the above operations.,https://leetcode.com/problems/longest-repeating-character-replacement/
52,String,Minimum Window Substring,"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """".",https://leetcode.com/problems/minimum-window-substring/
53,String,Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.",https://leetcode.com/problems/valid-anagram/
54,String,Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.",https://leetcode.com/problems/group-anagrams/
55,String,Valid Parentheses,"Given a string s containing just the characters '(',')','{','}','[' and ']', determine if the input string is valid. An input string is valid if: 1. Open brackets must be closed by the same type of brackets. 2. Open brackets must be closed in the correct order. 3. Every close bracket has a corresponding open bracket of the same type.",https://leetcode.com/problems/valid-parentheses/
56,String,Valid Palindrome,"Given a string s, return true if it is a palindrome, false otherwise.",https://leetcode.com/problems/valid-palindrome/
57,String,Longest Palindromic Substring,"Given a string s, return the longest palindromic substring in s.",https://leetcode.com/problems/longest-palindromic-substring/
58,String,Palindromic Substrings,"Given a string s, return the number of palindromic substrings in it. A string is a palindrome when it reads the same backward as forward. A substring is a contiguous sequence of characters within the string.",https://leetcode.com/problems/palindromic-substrings/
59,String,Encode and Decode Strings,Design an algorithm to encode a list of strings to a string. The encoded string is then sent over the network and decoded back to the original list of strings. Implement encode and decode.,https://leetcode.com/problems/encode-and-decode-strings/
60,Tree,Maximum Depth of Binary Tree,"Given the root of a binary tree, return its maximum depth. A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node.",https://leetcode.com/problems/maximum-depth-of-binary-tree/
61,Tree,Same Tree,"Given the roots of two binary trees p and q, write a function to check if they are the same or not. Two binary trees are considered the same if they are structurally identical, and the nodes have the same value.",https://leetcode.com/problems/same-tree/
62,Tree,Invert/Flip Binary Tree,"Given the root of a binary tree, invert the tree, and return its root.",https://leetcode.com/problems/invert-binary-tree/
63,Tree,Binary Tree Maximum Path Sum,"Given the root of a binary tree, return the maximum path sum of any non-empty path. The path sum of a path is the sum of the node's values in the path.",https://leetcode.com/problems/binary-tree-maximum-path-sum/
64,Tree,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",https://leetcode.com/problems/binary-tree-level-order-traversal/
65,Tree,Serialize and Deserialize Binary Tree,Design an algorithm to serialize and deserialize a binary tree. You just need to ensure that a binary tree can be serialized to a string and this string can be deserialized to the original tree structure.,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
66,Tree,Subtree of Another Tree,"Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise. A subtree of a binary tree is a tree that consists of a node in a tree and all of this node's descendants.",https://leetcode.com/problems/subtree-of-another-tree/
67,Tree,Construct Binary Tree from Preorder and Inorder Traversal,"Given two integer arrays preorder and inorder where preorder is the preorder traversal of a binary tree and inorder is the inorder traversal of the same tree, construct and return the binary tree.",https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
68,Tree,Validate Binary Search Tree,"Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined as follows: The left subtree of a node contains only nodes with keys less than the node's key. The right subtree of a node contains only nodes with keys greater than the node's key. Both the left and right subtrees must also be binary search trees.",https://leetcode.com/problems/validate-binary-search-tree/
69,Tree,Kth Smallest Element in a BST,"Given the root of a binary search tree and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree.",https://leetcode.com/problems/kth-smallest-element-in-a-bst/
70,Tree,Lowest Common Ancestor of BST,"Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST.",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
71,Tree,Implement Trie (Prefix Tree),"Implement the Trie class: Trie() Initializes the trie object. void insert(String word) Inserts the string word into the trie. Boolean search(String word) Returns true if the string word is in the trie. Boolean startsWith(String prefix) Returns true if there is a previously inserted string word that has the prefix, and false otherwise.",https://leetcode.com/problems/implement-trie-prefix-tree/
72,Tree,Add and Search Word,Design a data structure that supports adding new words and finding if a string matches any previously added string. Implement the WordDictionary class: void addWord(word) Adds a word to the data structure. bool search(word) Returns true if there is any string in the data structure that matches the word or false otherwise. A word may contain dots '.' where dots can be matched with any letter.,https://leetcode.com/problems/add-and-search-word/
73,Tree,Word Search II,"Given an m x n board of characters and a list of strings words, return all words on the board. Each word must be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once in a word.",https://leetcode.com/problems/word-search-ii/
74,Heap,Merge K Sorted Lists,"You are given an array of k linked-lists lists, each linked list is sorted in ascending order. Merge all the linked lists into one sorted linked list and return it.",https://leetcode.com/problems/merge-k-sorted-lists/
75,Heap,Top K Frequent Elements,"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.",https://leetcode.com/problems/top-k-frequent-elements/
76,Heap,Find Median from Data Stream,Implement the MedianFinder class: MedianFinder() initializes the MedianFinder object. void addNum(int num) adds the integer num from the data stream to the data structure. double findMedian() returns the median of all elements so far.,https://leetcode.com/problems/find-median-from-data-stream/